SD	REP	SCALE	SNPs	Num_Sequences	Length	Prop_Variable	Haplotype_Diversity	Num_Duplicate_Haplotypes	Num_Unique_Haplotypes	Median_Edit_Dist	Min_Nonzero_P_Distance	Min_Nonzero_Hamming_Distance
0.6	2	1000.0	20000	100	20000	1.0	0.9898	1	99	0.2580784559249878	0.7483	14966
0.1	3	10.0	20000	100	20000	1.0	0.9898	1	99	0.2579343616962433	0.7444	14888
0.4	4	5.0	20000	100	20000	1.0	0.9898	1	99	0.2604857385158539	0.7014	14028
0.4	1	1.0	19995	100	20000	0.99975	0.9898	1	99	0.26267680525779724	0.5657	11314
0.4	1	0.1	17578	100	20000	0.8789	0.9898	1	99	0.27760931849479675	0.1956	3912
0.8	5	10.0	20000	100	20000	1.0	0.9898	1	99	0.2559259235858917	0.74815	14963
0.4	1	0.5	19875	100	20000	0.99375	0.9898	1	99	0.2646975815296173	0.4747	9494
0.4	4	0.01	6858	100	20000	0.3429	0.9896	2	98	0.3526536524295807	0.0166	332
0.2	3	0.01	9769	100	20000	0.48845	0.9898	1	99	0.32852528989315033	0.00215	43
0.4	4	1.0	19995	100	20000	0.99975	0.9898	1	99	0.2548285722732544	0.5208	10416
0.4	1	5.0	20000	100	20000	1.0	0.9898	1	99	0.25480611622333527	0.72765	14553
0.0	1	0.01	10691	100	20000	0.53455	0.9896	2	98	0.318718820810318	0.0202	404
0.3	4	1000.0	20000	100	20000	1.0	0.9898	1	99	0.26035505533218384	0.74515	14903
0.8	5	1.0	19914	100	20000	0.9957	0.9898	1	99	0.2600190341472626	0.618	12360
1.0	2	5.0	20000	100	20000	1.0	0.9898	1	99	0.25915011763572693	0.5773	11546
0.0	1	5.0	20000	100	20000	1.0	0.9898	1	99	0.2592681497335434	0.70865	14173
0.6	2	0.01	7156	100	20000	0.3578	0.9896	2	98	0.3465990722179413	0.03095	619
0.0	1	1.0	20000	100	20000	1.0	0.9896	2	98	0.2614571750164032	0.53645	10729
0.8	5	5.0	20000	100	20000	1.0	0.9898	1	99	0.26203684508800507	0.7394	14788
1.0	2	1.0	19686	100	20000	0.9843	0.9898	1	99	0.26222482323646545	0.3221	6442
0.0	1	1000.0	20000	100	20000	1.0	0.9898	1	99	0.2587978392839432	0.74805	14961
0.6	2	10.0	20000	100	20000	1.0	0.9898	1	99	0.25834840536117554	0.7514	15028
0.2	3	1000.0	20000	100	20000	1.0	0.9898	1	99	0.2606666088104248	0.74715	14943
0.4	4	1000.0	20000	100	20000	1.0	0.9898	1	99	0.25602197647094727	0.74845	14969
0.3	4	10.0	20000	100	20000	1.0	0.9898	1	99	0.2538684606552124	0.71905	14381
0.1	3	5.0	20000	100	20000	1.0	0.9898	1	99	0.25498147308826447	0.7102	14204
0.1	3	0.1	18751	100	20000	0.93755	0.9898	1	99	0.2654424011707306	0.15425	3085
0.3	4	0.01	6094	100	20000	0.3047	0.9898	1	99	0.3533729016780853	0.01085	217
0.6	2	1.0	19993	100	20000	0.99965	0.9898	1	99	0.2590627670288086	0.5883	11766
