Lineage,Tip
L.1,T69
L.1,T95
L.1,T3
L.1,T68
L.1,T48
L.1,T43
L.1,T96
L.1,T12
L.1,T21
L.1,T58
L.1,T70
L.1,T6
L.1,T32
L.1,T7
L.1,T38
L.1,T5
L.1,T22
L.1,T56
L.1,T67
L.1,T60
L.1,T100
L.1,T76
L.1,T87
L.1,T37
L.1,T19
L.1,T51
L.1,T83
L.1,T80
L.1,T66
L.1,T25
L.1,T91
L.1,T2
L.1,T89
L.1,T24
L.1,T17
L.1,T92
L.1,T40
L.1,T15
L.1,T81
L.1,T11
L.1,T49
L.1,T28
L.1,T94
L.1,T4
L.1,T57
L.1,T65
L.1,T64
L.1,T46
L.1,T98
L.1,T33
L.1,T35
L.1,T20
L.1,T44
L.1,T29
L.1,T93
L.1,T84
L.1.1,T35
L.1.1,T20
L.1.1,T84
L.1.1,T33
L.1.1,T98
L.1.1,T25
L.1.1,T64
L.1.1,T4
L.1.1,T57
L.1.1,T44
L.1.1,T46
L.1.1,T29
L.1.1,T17
L.1.1,T65
L.1.1,T89
L.1.1,T93
L.1.1,T92
L.1.1,T40
L.1.1,T15
L.1.1,T24
L.1.1,T81
L.1.1,T11
L.1.1,T49
L.1.1,T28
L.1.1,T94
L.1.1.1,T35
L.1.1.1,T25
L.1.1.1,T57
L.1.1.1,T64
L.1.1.1,T46
L.1.1.1,T98
L.1.1.1,T33
L.1.1.1,T4
L.1.1.1,T20
L.1.1.1,T44
L.1.1.1,T29
L.1.1.1,T93
L.1.1.1,T65
L.1.1.1,T84
L.1.1.1,T28
L.1.1.1,T49
L.1.2,T56
L.1.2,T67
L.1.2,T60
L.1.2,T100
L.1.2,T19
L.1.2,T87
L.1.2,T37
L.1.2,T22
L.1.2,T51
L.1.2,T76
L.1.2,T5
L.1.2,T66
L.1.2,T7
L.1.2,T32
L.1.2,T6
L.1.2,T70
L.1.2,T58
L.1.2,T21
L.1.2,T12
L.1.2,T96
L.1.2,T43
L.1.2,T38
L.1.2.1,T76
L.1.2.1,T51
L.1.2.1,T19
L.1.2.1,T37
L.1.2.1,T87
L.1.2.1,T100
L.1.2.1,T60
L.1.2.1,T67
L.1.2.1,T56
L.1.2.1,T22
L.1.2.1,T5
L.1.2.1,T38
L.1.2.1,T66
L.2,T30
L.2,T52
L.2,T36
L.2,T62
L.2,T85
L.2,T74
L.2,T88
L.2,T14
L.2,T13
L.2,T23
L.2,T41
L.2,T71
L.2,T90
L.2,T59
L.2,T34
L.2,T99
L.2,T27
L.2,T79
L.2,T97
L.2,T16
L.2.1,T27
L.2.1,T16
L.2.1,T88
L.2.1,T52
L.2.1,T14
L.2.1,T90
L.2.1,T74
L.2.1,T85
L.2.1,T62
L.2.1,T36
L.2.1,T13
L.2.1,T30
L.3,T55
L.3,T78
L.3,T53
L.3,T47
L.3,T18
L.3,T82
L.3,T26
L.3,T86
L.3,T9
L.3,T50
L.3,T72
L.3,T73
L.3,T61
L.3,T54
L.3.1,T78
L.3.1,T53
L.3.1,T47
L.3.1,T18
L.3.1,T82
L.3.1,T26
L.3.1,T73
L.3.1,T86
L.3.1,T9
L.3.1,T72
L.3.1,T50
L.1.1XL.1.2.1,L.1.1XL.1.2.1_low_1
L.1.2XL.2,L.1.2XL.2_high_1
L.1.1.1XL.2,L.1.1.1XL.2_high_1
